activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300AG64NHILB7ZP05,41540,DE,10005,10005051014,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,2,32,1,2,2,2,395000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,56,>60%,2,9,2,,,,,3,,,,,2,2,5,,,,,6,,,,,2,2,1,3,2,2,>74,>74,Yes,Yes,1,1,3,,,,,1,,,,1881,8.45,93300,122.82,834,1327,13
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003013604,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,2,0,2,1,32,1,2,2,2,155000.0,41.667,4.99,-0.035,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,57,39,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,55-64,55-64,No,No,1,1,1,,,,,10,,,,4156,20.91,105700,105.92,1231,1423,51
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003015400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,2,32,1,2,2,2,85000.0,48.78,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,19,45,1,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,55-64,65-74,Yes,Yes,1,1,3,,,,,4,,,,2932,94.51,105700,59.19,750,1087,63
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003014904,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,2,32,1,2,2,2,315000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,64,50%-60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,3,,,,,1,,,,5003,60.6,105700,94.72,1136,1322,34
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003016808,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,32,1,2,2,2,545000.0,75.0,6.25,0.789,2,19702.95,NA,17795.0,16200.0,,360,NA,84,2,2,2,2,725000,1,1,3,5,1,NA,149,50%-60%,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,7377,39.54,105700,136.73,1744,1872,14
2023,549300AG64NHILB7ZP05,20100,DE,10001,10001042900,C,VA:First Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,3,32,1,2,2,2,255000.0,90.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,285000,2,1,1,1,1,NA,114,41,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,2,,,,,6,,,,5105,23.58,85300,100.77,1505,2040,29
2023,549300AG64NHILB7ZP05,41540,DE,10005,10005050405,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,32,1,2,2,2,115000.0,32.31,6.5,0.908,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,66,43,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,55-64,55-64,Yes,Yes,1,1,1,,,,,10,,,,4378,38.85,93300,72.04,1372,1803,46
2023,549300AG64NHILB7ZP05,20100,DE,10001,10001042204,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,3,32,1,2,2,2,545000.0,89.967,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,198,30%-<36%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,1,2,,,,,6,,,,4773,43.33,85300,156.64,1194,1436,16
2023,549300AG64NHILB7ZP05,48864,DE,10003,10003012900,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Joint,3,0,2,2,32,1,2,2,2,225000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,49,44,2,9,2,,,,,2,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,55-64,45-54,No,No,1,1,3,,,,,4,,,,4823,62.78,105700,73.09,974,1488,62
2023,549300AG64NHILB7ZP05,41540,DE,10005,10005050401,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,American Indian or Alaska Native,Sex Not Available,3,0,2,2,4,1,2,2,2,145000.0,80.0,NA,NA,3,NA,NA,NA,NA,NA,300,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,44,30%-<36%,3,10,3,,,,,5,,,,,2,4,1,,,,,8,,,,,2,4,3,5,2,4,>74,9999,Yes,NA,1,1,3,,,,,4,,,,3606,23.32,93300,102.05,1129,1483,33
